activateable,createable,custom,customSetting,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,False,False,False,True,False,False,False,False,,Task Feed,Task Feed,False,False,False,TaskFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/TaskFeed/{ID}'), ('describe', '/services/data/v42.0/sobjects/TaskFeed/describe'), ('sobject', '/services/data/v42.0/sobjects/TaskFeed')])"
False,False,False,False,False,False,False,False,False,,Task Priority Value,Task Priority Value,False,False,False,TaskPriority,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/TaskPriority/{ID}'), ('describe', '/services/data/v42.0/sobjects/TaskPriority/describe'), ('sobject', '/services/data/v42.0/sobjects/TaskPriority')])"
False,True,False,False,True,False,False,False,False,0RT,Task Relation,Task Relations,False,False,False,TaskRelation,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/TaskRelation/{ID}'), ('describe', '/services/data/v42.0/sobjects/TaskRelation/describe'), ('sobject', '/services/data/v42.0/sobjects/TaskRelation')])"
False,False,False,False,False,False,False,False,False,,Task Relation Change Event,Task Relation Change Event,False,False,False,TaskRelationChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/TaskRelationChangeEvent/{ID}'), ('eventSchema', '/services/data/v42.0/sobjects/TaskRelationChangeEvent/eventSchema'), ('describe', '/services/data/v42.0/sobjects/TaskRelationChangeEvent/describe'), ('sobject', '/services/data/v42.0/sobjects/TaskRelationChangeEvent')])"
False,False,False,False,False,False,False,False,False,,Task Status Value,Task Status Value,False,False,False,TaskStatus,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/TaskStatus/{ID}'), ('describe', '/services/data/v42.0/sobjects/TaskStatus/describe'), ('sobject', '/services/data/v42.0/sobjects/TaskStatus')])"
False,False,False,False,False,False,False,False,False,,Task Who Relation,Task Who Relations,False,False,False,TaskWhoRelation,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/TaskWhoRelation/{ID}'), ('describe', '/services/data/v42.0/sobjects/TaskWhoRelation/describe'), ('sobject', '/services/data/v42.0/sobjects/TaskWhoRelation')])"
False,False,False,False,False,False,False,False,False,0UT,Tenant Usage Entitlement,Tenant Usage Entitlements,False,False,False,TenantUsageEntitlement,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/TenantUsageEntitlement/{ID}'), ('describe', '/services/data/v42.0/sobjects/TenantUsageEntitlement/describe'), ('sobject', '/services/data/v42.0/sobjects/TenantUsageEntitlement')])"
False,False,False,False,False,False,False,False,False,,Change Event: Territory,Change Event: Territory,False,False,False,Territory__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/Territory__ChangeEvent/{ID}'), ('eventSchema', '/services/data/v42.0/sobjects/Territory__ChangeEvent/eventSchema'), ('describe', '/services/data/v42.0/sobjects/Territory__ChangeEvent/describe'), ('sobject', '/services/data/v42.0/sobjects/Territory__ChangeEvent')])"
False,False,False,False,False,False,False,False,False,,History: Territory,History: Territory,False,False,False,Territory__History,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/Territory__History/{ID}'), ('describe', '/services/data/v42.0/sobjects/Territory__History/describe'), ('sobject', '/services/data/v42.0/sobjects/Territory__History')])"
False,True,False,False,True,False,False,False,False,,Share: Territory,Share: Territory,False,False,False,Territory__Share,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/Territory__Share/{ID}'), ('describe', '/services/data/v42.0/sobjects/Territory__Share/describe'), ('sobject', '/services/data/v42.0/sobjects/Territory__Share')])"
